nombre|partido|email|telefono 
Mayans Canabal, Fernando Enrique|PRD|fmayans@senado.gob.mx|53-45-30-00 Ext.: 3194, 5290.
Mayans Canabal, Humberto Domingo|PRI|hmayansc@senado.gob.mx| 53-45-30-00 Ext: 3473.
Melgar Bravo, Luis Armando|PVEM|lamelgar@senado.gob.mx| 53-45-30-00 Ext: 5434, 5435.
Mendoza Davis, Carlos|PAN|cmendozadavis@senado.gob.mx|53-45-30-00 Ext: 3082, 3081, 3570.
Monreal Ávila, David|PT|david.monreal@senado.gob.mx|53-45-30-00 Ext: 3054.
Morón Orozco, Raúl|PRD|rmoron@senado.gob.mx|53-45-30-00 Ext.: 3203, 5143, 5225.
Neyra Chávez, Armando|PRI|aneyra@senado.gob.mx|53-45-30-00 Ext: 3088, 3567.
Orihuela Bárcenas, José Ascención|PRI|jose.orihuela@senado.gob.mx|53-45-30-00 Ext: 3320, 3605.
Orozco Sandoval, Martín|PAN|morozco@senado.gob.mx| 53-45-30-00 Ext: 3328.
Pedraza Chávez, Isidro|PRD|isidro.pedraza@senado.gob.mx| 53-45-30-00 Ext.: 3111, 5300.
Pedroza Gaitán, César Octavio|PAN|octavio.pedroza@senado.gob.mx|53-45-30-00 Ext: 3042.
Penchyna Grub, David|PRI|dpenchyna@senado.gob.mx|53-45-30-00 Ext: 3166, 3565.
Pérez Magaña, Eviel|PRI|eviel.perez@senado.gob.mx|53-45-30-00 Ext: 3045, 5068.
Pozos Lanz, Raúl Aarón|PRI|rpozos@senado.gob.mx|53-45-30-00 Ext: 3490, 5205.
Preciado Rodríguez, Jorge Luis|PAN| jpreciado@senado.gob.mx|53-45-30-00 Ext: 3029, 3030.
Puente Salas, Carlos Alberto|PVEM|carlospuente@senado.gob.mx|53-45-30-00 Ext: 3563, 4116, 4115.
Ramírez Hernández, Socorro Sofío|PRD|sofioramirez@senado.gob.mx|53-45-30-00 Ext.: 3133, 5269.
Ríos Piter, Armando|PRD|armando.rios@senado.gob.mx|53-45-30-00 Ext.: 3272.
Robledo Aburto, Zoe Alejandro|PRD|zoerobledo@senado.gob.mx|53-45-30-00 Ext.: 3273, 5198.
Robles Montoya, Ángel Benjamín|PRD|benjaminrobles@senado.gob.mx| 53-45-30-00 Ext.: 3118, 3117, 5132.
Romero Deschamps, Carlos Antonio|PRI|carlos.romero@senado.gob.mx|53-45-30-00 Ext: 5442, 3028.
Romero Hicks, Juan Carlos|PAN|romero.hicks@senado.gob.mx|53-45-30-00 Ext: 3301, 5360, 5218.
Romero Lainas, Adolfo|PRD|adolfo.romero@senado.gob.mx| 53-45-30-00 Ext.: 3251, 5228.
Romo Medina, Miguel|PRI|miguel.romo@senado.gob.mx|53-45-30-00 Ext: 3463, 5206.
Rosas González, Óscar Román|PRI|oscarrosas@senado.gob.mx|53-45-30-00 Ext: 5448, 3501.
Ruffo Appel, Ernesto|PAN|ernesto.ruffo@senado.gob.mx|53-45-30-00 Ext: 5217, 5359, 3628.
Salazar Fernández, Luis Fernando|PAN| lfsalazar@senado.gob.mx|53-45-30-00 Ext:
Salazar Solorio, Rabindranath|PRD|rabindranath.salazar@senado.gob.mx|53-45-30-00 Ext.: 3123, 3124, 3554.
Sánchez García, Gerardo|PRI|gerardo.sanchez@senado.gob.mx|53-45-30-00 Ext: 3380, 3922.
Sánchez Jiménez, Venancio Luis|PRD|luis.sanchez@senado.gob.mx|53-45-30-00 Ext.: 3834, 3965, 3407.
Tello Cristerna, Alejandro|PRI|alejandro.telloc@senado.gob.mx|53-45-30-00 Ext: 5210, 3434.
Torres Corzo, Teófilo|PRI|teofilo.torres@senado.gob.mx|53-45-30-00 Ext: 3097, 3080.
Torres Graciano, Fernando|PAN|torresgraciano@senado.gob.mx|53-45-30-00 Ext: 3424, 5243.
Vega Casillas, Salvador|PAN|salvador.vega@pan.senado.gob.mx|53-45-30-00 Ext: 3323, 3322.
Yunes Landa, Héctor|PRI|hector.yunes@senado.gob.mx|53-45-30-00 Ext: 3973, 3053.
Yunes Márquez, Fernando|PAN|fernandoyunes@senado.gob.mx|53-45-30-00 Ext: 3325, 5458.
Yunes Zorrilla, José Francisco|PRI|jose.yunes@senado.gob.mx|53-45-30-00 Ext: 3078, 5249.
